Total Score (320-1520),Reading and Writing Section Score (160-760),Math Section Score (160-760)
840,380,460
880,420,460
890,440,450
900,450,450
910,450,460
920,460,460
920,420,500
950,470,480
970,470,500
970,470,500
980,500,480
1000,510,490
1010,520,490
1010,530,480
1010,500,510
1020,500,520
1020,530,490
1020,550,470
1020,520,500
1030,560,470
1040,520,520
1040,540,500
1050,530,520
1050,540,510
1070,510,560
1080,530,550
1080,630,450
1090,530,560
1090,530,560
1090,600,490
1090,620,470
1100,570,530
1100,580,520
1100,570,530
1100,580,520
1110,590,520
1110,600,510
1110,570,540
1110,580,530
1120,550,570
1120,560,560
1120,630,490
1120,590,530
1130,520,610
1130,580,550
1130,620,510
1130,610,520
1140,590,550
1140,590,550
1140,610,530
1140,540,600
1150,570,580
1150,650,500
1150,690,460
1150,640,510
1150,560,590
1160,560,600
1160,570,590
1160,540,620
1160,640,520
1160,650,510
1160,550,610
1160,590,570
1180,600,580
1180,610,570
1180,590,590
1190,630,560
1190,610,580
1200,610,590
1200,650,550
1200,610,590
1210,650,560
1210,640,570
1210,670,540
1210,630,580
1210,570,640
1210,650,560
1210,650,560
1220,650,570
1220,640,580
1220,660,560
1220,650,570
1230,660,570
1230,620,610
1230,660,570
1230,660,570
1230,630,600
1240,700,540
1240,640,600
1260,620,640
1260,690,570
1260,680,580
1260,610,650
1260,710,550
1260,660,600
1260,700,560
1270,640,630
1270,590,680
1270,720,550
1280,650,630
1280,680,600
1280,660,620
1280,630,650
1300,560,740
1300,710,590
1310,600,710
1310,660,650
1320,600,720
1320,690,630
1330,660,670
1330,700,630
1330,660,670
1340,720,620
1340,610,730
1340,640,700
1340,670,670
1350,670,680
1350,710,640
1350,710,640
1350,670,680
1350,720,630
1360,680,680
1370,700,670
1370,710,660
1380,710,670
1380,720,660
1380,710,670
1410,650,760
1410,660,750
1410,670,740
1420,670,750
1420,670,750
1430,720,710
1430,720,710
1440,730,710
1450,700,750
1450,710,740
1460,740,720
1470,710,760
1480,720,760
1490,740,750
1500,740,760
1500,740,760
1500,760,740
1510,760,750
1520,760,760
